,number,value,params_k_1_init,params_k_2_init,params_kt_1_init,params_kt_2_init,state
40,40,14973277877239.84,10140999.0614696,89890609.76824364,3137998.7132785046,74698309.57582495,COMPLETE
41,41,4853690010170.884,9260408.015021607,88867819.61024806,1411918.6120459707,89892403.13802771,COMPLETE
42,42,3945680836969.2197,57504852.50485828,87865772.07630193,291027.52027868107,72552947.10744481,COMPLETE
43,43,6686919649768.232,61064581.36338157,87709589.49276029,2685358.714506731,88316797.54628927,COMPLETE
44,44,5202929962264.096,65318049.795607254,91995200.49994309,9917515.561082035,89308753.28929266,COMPLETE
45,45,11457811472081.512,64297563.58963939,85749893.95577468,249020.28368264134,89625643.51309751,COMPLETE
46,46,4861201338087.788,8914824.519808035,87209967.1630541,1485761.9537356352,73588381.3561765,COMPLETE
47,47,3151326602347.177,59877085.5268275,83377980.51766725,185024.96736190422,74094645.96459457,COMPLETE
48,48,8485986982442.22,70822476.7384839,85597167.97561722,338827.3034630269,89745729.63315085,COMPLETE
49,49,6145249109221.213,70360900.08912288,72771434.13727266,11425340.433314536,651995.9359425157,COMPLETE
50,50,5574434642627.083,56701386.65368059,71639979.78255847,12424360.811940357,73204323.59480494,COMPLETE
51,51,5574434642627.083,39789237.755745575,63265951.04837801,13509198.543950684,58111326.35012636,COMPLETE
52,52,5574434642627.083,40720851.57118446,65794359.26152751,13947476.014394203,58748069.995169625,COMPLETE
53,53,5574434642627.083,39909527.388993114,68243775.27755648,13449935.867472542,74317252.19903855,COMPLETE
54,54,5574434642627.083,42069658.402824916,67302835.75444667,67274756.43154322,55730543.808972,COMPLETE
55,55,5574434642627.083,76471737.36596155,56158099.32634623,78323137.01365037,59760320.19806848,COMPLETE
56,56,307389722635306.4,1558446.7456528386,83520300.51490426,6716167.326083679,94040290.13206697,COMPLETE
57,57,63022929904620.85,4592735.882542077,84700720.7078787,8256070.602200074,30222051.36912586,COMPLETE
58,58,187848022879199.53,3246148.6359401704,82284032.59067073,7191567.67986837,92882462.28821991,COMPLETE
59,59,4220792742608.1235,3476197.122888057,84993862.60854395,6227865.481979833,92771721.10694216,COMPLETE
60,60,4007121006354.8086,55142082.59471686,82676626.39005248,319070.00426493154,68450395.86688682,COMPLETE
61,61,177689475309590.94,72647745.4556391,97477647.73498935,7267219.817580229,32208338.66598361,COMPLETE
62,62,114336548787859.56,52451753.62256751,96224556.05042851,7679745.5472065825,34972127.547435254,COMPLETE
63,63,53353570271113.24,54267847.05716679,95137628.45192902,8311873.20370163,66905533.52403988,COMPLETE
64,64,5574434642627.083,55997659.87863372,95559689.69169858,20652851.799919203,32625906.951179344,COMPLETE
65,65,5574434642627.083,54080477.27854754,96216797.90125075,42968522.6583388,53506622.904646605,COMPLETE
66,66,5574434642627.083,56481509.74442428,96992362.37391128,19862031.901469037,64747403.439520486,COMPLETE
67,67,1880610771189.598,45551231.86713201,95200766.49329826,41164.95545727736,53194126.617951185,COMPLETE
68,68,5574434642627.083,52003085.28283162,47688169.83720578,18429968.059900444,63521454.81521661,COMPLETE
69,69,3581607095207.9966,60189464.4642742,75887782.52963078,4153492.952262867,69521017.8676011,COMPLETE
70,70,11187569121685.574,59887508.73315461,92874328.19549717,266707.0565934008,70687312.35381886,COMPLETE
71,71,6551743502303.182,44595370.45419191,75663846.99541299,118632.59002093528,69716057.26046625,COMPLETE
72,72,3337427781072.1055,46996902.25666812,75642159.11501229,4003302.60103571,53282938.8017527,COMPLETE
