,number,value,params_k_1_init,params_k_2_init,params_kt_1_init,state
271,271,2211459182501.9346,864603.0835704537,2662124.483624781,6663314.816634755,COMPLETE
272,272,1396385520219.8813,1140817.0648705396,3445305.7518173275,6714866.612390132,COMPLETE
273,273,1360550624603.8245,1113603.551565811,3433309.292989344,6874252.052765264,COMPLETE
274,274,1405860945962.6736,1177224.102553872,3049753.698736496,6127212.0781482365,COMPLETE
275,275,3424526208955.275,3122418.129415036,9087860.160254776,6154037.64305536,COMPLETE
276,276,2269101794097.321,448190.0212924753,3236044.855765289,5802849.556767168,COMPLETE
277,277,1299514695624.2676,1001739.8661714983,3267761.4576976225,5802393.42211327,COMPLETE
278,278,3120688721457.7144,432717.50216304656,3236257.941769365,5873563.741941481,COMPLETE
279,279,1848291734266.193,524921.0461725008,3607218.082087363,6300046.401978208,COMPLETE
280,280,2142338595254.9282,492231.13735769055,3652610.339033567,6386186.907130483,COMPLETE
281,281,1194809935122.262,772288.5380336847,3614162.8461674,6300095.154911543,COMPLETE
282,282,1709704577297.4585,540983.6109854691,3109436.44980595,6005828.734770922,COMPLETE
283,283,1281700371236.2017,737121.1545000501,4139913.0974070644,6039245.599057927,COMPLETE
284,284,1712319112844.0051,755698.5246305775,4261497.483553383,6022536.131440835,COMPLETE
285,285,7524409292722.594,7453276.939332787,4151016.611616003,5965099.193498012,COMPLETE
286,286,1283699574162.8198,946968.5947584314,2714451.2373248395,6589597.109353356,COMPLETE
287,287,4700587824411.486,8044831.258605188,3050277.149236611,4396604.246741697,COMPLETE
288,288,1659880956784.812,983888.1844935649,2759720.719477075,6552500.942454307,COMPLETE
289,289,1196356571549.9802,977436.3240981842,3379856.038923245,5659848.543926772,COMPLETE
290,290,1652781963284.84,995762.7345203515,2785862.347768905,6555672.667522099,COMPLETE
291,291,1481104561077.8062,1261961.8658029418,3319855.197084676,6152034.286705977,COMPLETE
292,292,1235469640014.9463,1216544.4291911907,3370089.9799841507,6221802.91314646,COMPLETE
293,293,1152069441013.641,714153.4211748274,3490340.766388339,6227199.881903346,COMPLETE
294,294,1168532075648.8958,743211.3084668145,3530548.0687440364,5385762.670685368,COMPLETE
295,295,1198329375565.0457,724800.979403424,3557558.780528411,6205157.688030272,COMPLETE
296,296,1231142387936.0483,722242.3001806346,3737854.899419249,5330287.296914626,COMPLETE
297,297,1331440979824.0942,652916.5887628391,3768401.179615799,4809279.04251767,COMPLETE
298,298,1375743960680.895,667070.8055295482,3685220.468270763,6807260.738834526,COMPLETE
299,299,4775766744863.8955,363862.46800603747,3715963.4174232725,5253701.539972444,COMPLETE
300,300,5510929078399.117,331864.70446238347,3775047.165651449,4850798.420274222,COMPLETE
301,301,2701635796331.534,436577.1288102012,9747.559047522955,5311724.299401559,COMPLETE
302,302,6658785058863.8,294914.0200127499,3473658.287662005,5536885.792087727,COMPLETE
303,303,4170364784664.9497,366787.0954885219,3534494.0667698113,5568352.079581986,COMPLETE
304,304,1347030940120.3591,1066416.540219651,3469153.1677492475,5404974.073236349,COMPLETE
305,305,1394743937775.3335,1096026.7745061796,3063980.3039770373,5161378.257990247,COMPLETE
306,306,1268422889366.6975,1087076.8354695477,3059189.7643243065,5346403.153405299,COMPLETE
307,307,1465052193217.2583,1095430.4546689342,3989056.410924963,5728044.315958672,COMPLETE
308,308,1234746250530.513,855249.1194143763,2978070.9037585463,5740700.789464506,COMPLETE
